bare_form,accented_form,last_letter,gender,translations,is_animate,is_indeclinable,is_sg_only,is_pl_only,partner,usage,nom_sg,nom_sg_tags,nom_pl,nom_pl_tags,gen_sg,gen_sg_tags,gen_pl,gen_pl_tags,dat_sg,dat_sg_tags,dat_pl,dat_pl_tags,acc_sg,acc_sg_tags,acc_pl,acc_pl_tags,inst_sg,inst_sg_tags,inst_pl,inst_pl_tags,prep_sg,prep_sg_tags,prep_pl,prep_pl_tags,irreg_decl,accent_chg,multi_vars
верх,ве'рх,х,m,top,False,False,False,False,,,ве'рх,,верхи',"#_a_, accent_chg:0",ве'рха,,верхо'в,"#_a_, accent_chg:0",ве'рху,,верха'м,"#_a_, accent_chg:0",ве'рх,,верхи',"#_a_, accent_chg:0",ве'рхом,,верха'ми,"#_a_, accent_chg:0",ве'рхе/верху',"#iam, irreg_decl:1, accent_chg:1",верха'х,"#_a_, accent_chg:0",prep_sg:1,"nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_sg:1,prep_pl:0",prep_sg
вес,ве'с,с,m,weight,False,False,False,False,,,ве'с,,веса',"#ia_, irreg_decl:0, accent_chg:0",ве'са,,весо'в,"#_a_, accent_chg:0",ве'су,,веса'м,"#_a_, accent_chg:0",ве'с,,веса',"#ia_, irreg_decl:0, accent_chg:0",ве'сом,,веса'ми,"#_a_, accent_chg:0",ве'се,,веса'х,"#_a_, accent_chg:0","nom_pl:0,acc_pl:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0",
весна,весна',а,f,spring,False,False,False,False,,The season,весна',,вё'сны,"#ia_, irreg_decl:0, accent_chg:0",весны',,вё'сен,"#ia_, irreg_decl:0, accent_chg:0",весне',,вё'снам,"#ia_, irreg_decl:0, accent_chg:0",весну',,вё'сны,"#ia_, irreg_decl:0, accent_chg:0",весно'й/весно'ю,"#__m, ",вё'снами,"#ia_, irreg_decl:0, accent_chg:0",весне',,вё'снах,"#ia_, irreg_decl:0, accent_chg:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0",inst_sg
весь,ве'сь,ь,f,village; Everything,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
весь,ве'сь,ь,f,"village, village community",False,False,False,False,,,ве'сь,,ве'си,,ве'си,,ве'сей,,ве'си,,ве'сям,,ве'сь,,ве'си,,ве'сью,,ве'сями,,ве'си,,ве'сях,,,,
ветер,ве'тер,р,m,"wind, breeze",False,False,False,False,,,ве'тер,,ве'тры,"#i__, irreg_decl:0",ве'тра,"#i__, irreg_decl:0",ве'тров,"#i__, irreg_decl:0",ве'тру,"#i__, irreg_decl:0",ве'трам,"#i__, irreg_decl:0",ве'тер,,ве'тры,"#i__, irreg_decl:0",ве'тром,"#i__, irreg_decl:0",ве'трами,"#i__, irreg_decl:0",ве'тре/на ветру',"#iam, irreg_decl:0:1, accent_chg:1",ве'трах,"#i__, irreg_decl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0:1,prep_pl:0",prep_sg:1,prep_sg
вечер,ве'чер,р,m,evening,False,False,False,False,,,ве'чер,,вечера',"#ia_, irreg_decl:0, accent_chg:0",ве'чера,,вечеро'в,"#_a_, accent_chg:0",ве'черу,,вечера'м,"#_a_, accent_chg:0",ве'чер,,вечера',"#ia_, irreg_decl:0, accent_chg:0",ве'чером,,вечера'ми,"#_a_, accent_chg:0",ве'чере,,вечера'х,"#_a_, accent_chg:0","nom_pl:0,acc_pl:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0",
вещество,вещество',о,n,"substance, material, agent; matter",False,False,False,False,,"1. физ. один из видов материи, состоящей из элементарных частиц (кварков и лептонов), обладающих массой покоя\n\n2. хим. физическая субстанция со специфическим химическим составом; органическое или минеральное соединение, обладающее определёнными свойствами\n\n3. биол. материя, образующая ткани организмов, входящая в состав органелл клеток",вещество',,вещества',,вещества',,веще'ств,"#_a_, accent_chg:0",веществу',,вещества'м,,вещество',,вещества',,вещество'м,,вещества'ми,,веществе',,вещества'х,,,gen_pl:0,
вещь,ве'щь,ь,f,"thing, things, belongings, clothes, work",False,False,False,False,,,ве'щь,,ве'щи,,ве'щи,,веще'й,"#_a_, accent_chg:0",ве'щи,,веща'м,"#_a_, accent_chg:0",ве'щь,,ве'щи,,ве'щью,,веща'ми,"#_a_, accent_chg:0",ве'щи,,веща'х,"#_a_, accent_chg:0",,"gen_pl:0,dat_pl:0,inst_pl:0,prep_pl:0",
взрослый,взро'слый,й,m,adult,True,False,False,False,,,взро'слый,,взро'слые,"#i__, irreg_decl:0",взро'слого,"#i__, irreg_decl:0",взро'слых,"#i__, irreg_decl:0",взро'слому,"#i__, irreg_decl:0",взро'слым,"#i__, irreg_decl:0",взро'слого/взро'слый,"#i_m, irreg_decl:0:1",взро'слых/взро'слые,"#i_m, irreg_decl:0:1",взро'слом,"#i__, irreg_decl:0",взро'слыми,"#i__, irreg_decl:0",взро'слым,"#i__, irreg_decl:0",взро'слых,"#i__, irreg_decl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_sg:0:1,acc_pl:0:1,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",,"acc_sg,acc_pl"
