bare_form,accented_form,suffix,translations,is_incomparable,usage,nom_m,nom_m_tags,nom_f,nom_f_tags,nom_n,nom_n_tags,nom_pl,nom_pl_tags,gen_m,gen_m_tags,gen_f,gen_f_tags,gen_n,gen_n_tags,gen_pl,gen_pl_tags,dat_m,dat_m_tags,dat_f,dat_f_tags,dat_n,dat_n_tags,dat_pl,dat_pl_tags,acc_m,acc_m_tags,acc_f,acc_f_tags,acc_n,acc_n_tags,acc_pl,acc_pl_tags,inst_m,inst_m_tags,inst_f,inst_f_tags,inst_n,inst_n_tags,inst_pl,inst_pl_tags,prep_m,prep_m_tags,prep_f,prep_f_tags,prep_n,prep_n_tags,prep_pl,prep_pl_tags,short_m,short_m_tags,short_f,short_f_tags,short_n,short_n_tags,short_pl,short_pl_tags,comparative,comparative_tags,superlative,superlative_tags,irreg_decl,accent_chg,multi_vars
метровый,метро'вый,вый,Adjective of метр,,,метро'вый,,метро'вая,,метро'вое,,метро'вые,,метро'вого,,метро'вой,,метро'вого,,метро'вых,,метро'вому,,метро'вой,,метро'вому,,метро'вым,,метро'вый/метро'вого,"#__m, ",метро'вую,,метро'вое,,метро'вые/метро'вых,"#__m, ",метро'вым,,метро'вой/метро'вою,"#__m, ",метро'вым,,метро'выми,,метро'вом,,метро'вой,,метро'вом,,метро'вых,,метро'в,,метро'ва,,метро'во,,метро'вы,,,,,,,,"acc_m,acc_pl,inst_f"
младший,мла'дший,ший,"younger, youngest, junior",False,,мла'дший,,мла'дшая,,мла'дшее,,мла'дшие,,мла'дшего,,мла'дшей,,мла'дшего,,мла'дших,,мла'дшему,,мла'дшей,,мла'дшему,,мла'дшим,,мла'дшего/мла'дший,"#__m, ",мла'дшую,,мла'дшее,,мла'дших/мла'дшие,"#__m, ",мла'дшим,,мла'дшей/мла'дшею,"#__m, ",мла'дшим,,мла'дшими,,мла'дшем,,мла'дшей,,мла'дшем,,мла'дших,,,,,,,,,,мла'дше,"#ia_, irreg_decl:0, accent_chg:0",,,comparative:0,comparative:0,"acc_m,acc_pl,inst_f"
млекопитающий,млекопита'ющий,щий,mammal,,,млекопита'ющий,,млекопита'ющая,,млекопита'ющее,,млекопита'ющие,,млекопита'ющего,,млекопита'ющей,,млекопита'ющего,,млекопита'ющих,,млекопита'ющему,,млекопита'ющей,,млекопита'ющему,,млекопита'ющим,,млекопита'ющий/млекопита'ющего,"#__m, ",млекопита'ющую,,млекопита'ющее,,млекопита'ющие/млекопита'ющих,"#__m, ",млекопита'ющим,,млекопита'ющей/(млекопита'ющею),"#__m, ",млекопита'ющим,,млекопита'ющими,,млекопита'ющем,,млекопита'ющей,,млекопита'ющем,,млекопита'ющих,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
многие,мно'гие,гие,many,False,,мно'гий,,мно'гая,,мно'гое,,мно'гие,,мно'гого,,мно'гой,,мно'гого,,мно'гих,,мно'гому,,мно'гой,,мно'гому,,мно'гим,,мно'гий,,мно'гую,,мно'гое,,мно'гие/мно'гих,"#__m, ",мно'гим,,мно'гой,,мно'гим,,мно'гими,,мно'гом,,мно'гой,,мно'гом,,мно'гих,,,,,,,,,,,,,,,,acc_pl
мобильный,моби'льный,ный,mobile,False,,моби'льный,,моби'льная,,моби'льное,,моби'льные,,моби'льного,,моби'льной,,моби'льного,,моби'льных,,моби'льному,,моби'льной,,моби'льному,,моби'льным,,моби'льный/моби'льного,"#__m, ",моби'льную,,моби'льное,,моби'льные/моби'льных,"#__m, ",моби'льным,,моби'льной/(моби'льною),"#__m, ",моби'льным,,моби'льными,,моби'льном,,моби'льной,,моби'льном,,моби'льных,,моби'лен,"#i__, irreg_decl:0",моби'льна,,моби'льно,,моби'льны,,моби'льнее,,моби'льнейший,,short_m:0,,"acc_m,acc_pl,inst_f"
мой,мо'й,мой,"my, mine, my people",False,,мо'й,,моя',"#ia_, irreg_decl:0, accent_chg:0",моё',"#ia_, irreg_decl:0, accent_chg:0",мои',"#ia_, irreg_decl:0, accent_chg:0",моего',"#ia_, irreg_decl:0, accent_chg:0",мое'й,"#ia_, irreg_decl:0, accent_chg:0",моего',"#ia_, irreg_decl:0, accent_chg:0",мои'х,"#ia_, irreg_decl:0, accent_chg:0",моему',"#ia_, irreg_decl:0, accent_chg:0",мое'й,"#ia_, irreg_decl:0, accent_chg:0",моему',"#ia_, irreg_decl:0, accent_chg:0",мои'м,"#ia_, irreg_decl:0, accent_chg:0",мо'й/моего',"#iam, irreg_decl:1, accent_chg:1",мою',"#ia_, irreg_decl:0, accent_chg:0",моё',"#ia_, irreg_decl:0, accent_chg:0",мои'/мои'х,"#iam, irreg_decl:0:1, accent_chg:0:1",мои'м,"#ia_, irreg_decl:0, accent_chg:0",мое'й/мое'ю,"#iam, irreg_decl:0:1, accent_chg:0:1",мои'м,"#ia_, irreg_decl:0, accent_chg:0",мои'ми,"#ia_, irreg_decl:0, accent_chg:0",моё'м,"#ia_, irreg_decl:0, accent_chg:0",мое'й,"#ia_, irreg_decl:0, accent_chg:0",моё'м,"#ia_, irreg_decl:0, accent_chg:0",мои'х,"#ia_, irreg_decl:0, accent_chg:0",,,,,,,,,,,,,"nom_f:0,nom_n:0,nom_pl:0,gen_m:0,gen_f:0,gen_n:0,gen_pl:0,dat_m:0,dat_f:0,dat_n:0,dat_pl:0,acc_m:1,acc_f:0,acc_n:0,acc_pl:0:1,inst_m:0,inst_f:0:1,inst_n:0,inst_pl:0,prep_m:0,prep_f:0,prep_n:0,prep_pl:0","nom_f:0,nom_n:0,nom_pl:0,gen_m:0,gen_f:0,gen_n:0,gen_pl:0,dat_m:0,dat_f:0,dat_n:0,dat_pl:0,acc_m:1,acc_f:0,acc_n:0,acc_pl:0:1,inst_m:0,inst_f:0:1,inst_n:0,inst_pl:0,prep_m:0,prep_f:0,prep_n:0,prep_pl:0","acc_m,acc_pl,inst_f"
молодой,молодо'й,дой,"young, youthful; new",False,,молодо'й,,молода'я,,молодо'е,,молоды'е,,молодо'го,,молодо'й,,молодо'го,,молоды'х,,молодо'му,,молодо'й,,молодо'му,,молоды'м,,молодо'й/молодо'го,"#__m, ",молоду'ю,,молодо'е,,молоды'е/молоды'х,"#__m, ",молоды'м,,молодо'й/молодо'ю,"#__m, ",молоды'м,,молоды'ми,,молодо'м,,молодо'й,,молодо'м,,молоды'х,,мо'лод,"#_a_, accent_chg:0",молода',,мо'лодо,"#_a_, accent_chg:0",мо'лоды,"#_a_, accent_chg:0",моло'же,,мла'дший,"#ia_, irreg_decl:0, accent_chg:0",superlative:0,"short_m:0,short_n:0,short_pl:0,superlative:0","acc_m,acc_pl,inst_f"
мороженый,моро'женый,ный,"frozen, chilled",,,моро'женый,,моро'женая,,моро'женое,,моро'женые,,моро'женого,,моро'женой,,моро'женого,,моро'женых,,моро'женому,,моро'женой,,моро'женому,,моро'женым,,моро'женый/моро'женого,"#__m, ",моро'женую,,моро'женое,,моро'женые/моро'женых,"#__m, ",моро'женым,,моро'женой/моро'женою,"#__m, ",моро'женым,,моро'жеными,,моро'женом,,моро'женой,,моро'женом,,моро'женых,,моро'жен,,моро'жена,,моро'жено,,моро'жены,,,,,,,,"acc_m,acc_pl,inst_f"
морской,морско'й,кой,"marine, maritime, naval, nautical; sea",False,,морско'й,,морска'я,,морско'е,,морски'е,,морско'го,,морско'й,,морско'го,,морски'х,,морско'му,,морско'й,,морско'му,,морски'м,,морско'й/морско'го,"#__m, ",морску'ю,,морско'е,,морски'е/морски'х,"#__m, ",морски'м,,морско'й/(морско'ю),"#__m, ",морски'м,,морски'ми,,морско'м,,морско'й,,морско'м,,морски'х,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
мужской,мужско'й,кой,"masculine, male",False,,мужско'й,,мужска'я,,мужско'е,,мужски'е,,мужско'го,,мужско'й,,мужско'го,,мужски'х,,мужско'му,,мужско'й,,мужско'му,,мужски'м,,мужско'го/мужско'й,"#__m, ",мужску'ю,,мужско'е,,мужски'х/мужски'е,"#__m, ",мужски'м,,мужско'й/мужско'ю,"#__m, ",мужски'м,,мужски'ми,,мужско'м,,мужско'й,,мужско'м,,мужски'х,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
музыкальный,музыка'льный,ный,musical (adj),False,,музыка'льный,,музыка'льная,,музыка'льное,,музыка'льные,,музыка'льного,,музыка'льной,,музыка'льного,,музыка'льных,,музыка'льному,,музыка'льной,,музыка'льному,,музыка'льным,,музыка'льный/музыка'льного,"#__m, ",музыка'льную,,музыка'льное,,музыка'льные/музыка'льных,"#__m, ",музыка'льным,,музыка'льной/(музыка'льною),"#__m, ",музыка'льным,,музыка'льными,,музыка'льном,,музыка'льной,,музыка'льном,,музыка'льных,,музыка'лен,"#i__, irreg_decl:0",музыка'льна,,музыка'льно,,музыка'льны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
мягкий,мя'гкий,кий,soft; mild,False,,мя'гкий,,мя'гкая,,мя'гкое,,мя'гкие,,мя'гкого,,мя'гкой,,мя'гкого,,мя'гких,,мя'гкому,,мя'гкой,,мя'гкому,,мя'гким,,мя'гкий/мя'гкого,"#__m, ",мя'гкую,,мя'гкое,,мя'гкие/мя'гких,"#__m, ",мя'гким,,мя'гкой/(мя'гкою),"#__m, ",мя'гким,,мя'гкими,,мя'гком,,мя'гкой,,мя'гком,,мя'гких,,мя'гок,"#i__, irreg_decl:0",мягка',"#_a_, accent_chg:0",мя'гко,,мя'гки/мягки',"#_am, accent_chg:1",мя'гче,,мягча'йший/наимягча'йший,"#iam, irreg_decl:1, accent_chg:1","short_m:0,superlative:1","short_f:0,short_pl:1,superlative:1","acc_m,acc_pl,inst_f,short_pl,superlative"
наилучший,наилу'чший,ший,best (best of the best),False,,наилу'чший,,наилу'чшая,,наилу'чшее,,наилу'чшие,,наилу'чшего,,наилу'чшей,,наилу'чшего,,наилу'чших,,наилу'чшему,,наилу'чшей,,наилу'чшему,,наилу'чшим,,наилу'чший/наилу'чшего,"#__m, ",наилу'чшую,,наилу'чшее,,наилу'чшие/наилу'чших,"#__m, ",наилу'чшим,,наилу'чшей/(наилу'чшею),"#__m, ",наилу'чшим,,наилу'чшими,,наилу'чшем,,наилу'чшей,,наилу'чшем,,наилу'чших,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
найденный,на'йденный,ный,found,False,,на'йденный,,на'йденная,,на'йденное,,на'йденные,,на'йденного,,на'йденной,,на'йденного,,на'йденных,,на'йденному,,на'йденной,,на'йденному,,на'йденным,,на'йденного/на'йденный,"#__m, ",на'йденную,,на'йденное,,на'йденных/на'йденные,"#__m, ",на'йденным,,на'йденной/на'йденною,"#__m, ",на'йденным,,на'йденными,,на'йденном,,на'йденной,,на'йденном,,на'йденных,,на'йден,"#i__, irreg_decl:0",на'йдена,"#i__, irreg_decl:0",на'йдено,"#i__, irreg_decl:0",на'йдены,"#i__, irreg_decl:0",,,,,"short_m:0,short_f:0,short_n:0,short_pl:0",,"acc_m,acc_pl,inst_f"
написанный,напи'санный,ный,be written,False,,напи'санный,,напи'санная,,напи'санное,,напи'санные,,напи'санного,,напи'санной,,напи'санного,,напи'санных,,напи'санному,,напи'санной,,напи'санному,,напи'санным,,напи'санного/напи'санный,"#__m, ",напи'санную,,напи'санное,,напи'санных/напи'санные,"#__m, ",напи'санным,,напи'санной/напи'санною,"#__m, ",напи'санным,,напи'санными,,напи'санном,,напи'санной,,напи'санном,,напи'санных,,написан,"#ia_, irreg_decl:0, accent_chg:0",написана,"#ia_, irreg_decl:0, accent_chg:0",написано,"#ia_, irreg_decl:0, accent_chg:0",написаны,"#ia_, irreg_decl:0, accent_chg:0",,,,,"short_m:0,short_f:0,short_n:0,short_pl:0","short_m:0,short_f:0,short_n:0,short_pl:0","acc_m,acc_pl,inst_f"
направленный,напра'вленный,ный,"directed, directional; aimed",False,+ dative,напра'вленный,,напра'вленная,,напра'вленное,,напра'вленные,,напра'вленного,,напра'вленной,,напра'вленного,,напра'вленных,,напра'вленному,,напра'вленной,,напра'вленному,,напра'вленным,,напра'вленный/напра'вленного,"#__m, ",напра'вленную,,напра'вленное,,напра'вленные/напра'вленных,"#__m, ",напра'вленным,,напра'вленной/напра'вленною,"#__m, ",напра'вленным,,напра'вленными,,напра'вленном,,напра'вленной,,напра'вленном,,напра'вленных,,напра'влен,"#i__, irreg_decl:0",напра'влена,"#i__, irreg_decl:0",напра'влено,"#i__, irreg_decl:0",напра'влены,"#i__, irreg_decl:0",,,,,"short_m:0,short_f:0,short_n:0,short_pl:0",,"acc_m,acc_pl,inst_f"
народный,наро'дный,ный,the people's; folk,False,,наро'дный,,наро'дная,,наро'дное,,наро'дные,,наро'дного,,наро'дной,,наро'дного,,наро'дных,,наро'дному,,наро'дной,,наро'дному,,наро'дным,,наро'дный/наро'дного,"#__m, ",наро'дную,,наро'дное,,наро'дные/наро'дных,"#__m, ",наро'дным,,наро'дной/(наро'дною),"#__m, ",наро'дным,,наро'дными,,наро'дном,,наро'дной,,наро'дном,,наро'дных,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
настоящий,настоя'щий,щий,"present, currently; true, real, genuine",False,В настоящий момент: at the moment\nВ настоящее время: Currently,настоя'щий,,настоя'щая,,настоя'щее,,настоя'щие,,настоя'щего,,настоя'щей,,настоя'щего,,настоя'щих,,настоя'щему,,настоя'щей,,настоя'щему,,настоя'щим,,настоя'щий/настоя'щего,"#__m, ",настоя'щую,,настоя'щее,,настоя'щие/настоя'щих,"#__m, ",настоя'щим,,настоя'щей/(настоя'щею),"#__m, ",настоя'щим,,настоя'щими,,настоя'щем,,настоя'щей,,настоя'щем,,настоя'щих,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
небольшой,небольшо'й,шой,"small, not great, short",,,небольшо'й,,небольша'я,,небольшо'е,,небольши'е,,небольшо'го,,небольшо'й,,небольшо'го,,небольши'х,,небольшо'му,,небольшо'й,,небольшо'му,,небольши'м,,небольшо'й/небольшо'го,"#__m, ",небольшу'ю,,небольшо'е,,небольши'е/небольши'х,"#__m, ",небольши'м,,небольшо'й/(небольшо'ю),"#__m, ",небольши'м,,небольши'ми,,небольшо'м,,небольшо'й,,небольшо'м,,небольши'х,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
неизвестный,неизве'стный,ный,unknown,False,,неизве'стный,,неизве'стная,,неизве'стное,,неизве'стные,,неизве'стного,,неизве'стной,,неизве'стного,,неизве'стных,,неизве'стному,,неизве'стной,,неизве'стному,,неизве'стным,,неизве'стный/неизве'стного,"#__m, ",неизве'стную,,неизве'стное,,неизве'стные/неизве'стных,"#__m, ",неизве'стным,,неизве'стной/неизве'стною,"#__m, ",неизве'стным,,неизве'стными,,неизве'стном,,неизве'стной,,неизве'стном,,неизве'стных,,неизве'стен,"#i__, irreg_decl:0",неизве'стна,,неизве'стно,,неизве'стны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
некоторые,не'которые,рые,"some, some people",False,This is a pronominal adjective that occurs only in the plural (identical to the plural of 'не́который'). Sandy,,,,,,,не'которые,,,,,,,,не'которых,,,,,,,,не'которым,,,,,,,,не'которые,,,,,,,,не'которыми,,,,,,,,не'которых,,,,,,,,,,,,,,,,
некоторый,не'который,рый,some,False,,не'который,,не'которая,,не'которое,,не'которые,,не'которого,,не'которой,,не'которого,,не'которых,,не'которому,,не'которой,,не'которому,,не'которым,,не'которого/не'который,"#__m, ",не'которую,,не'которое,,не'которых/не'которые,"#__m, ",не'которым,,не'которой,,не'которым,,не'которыми,,не'котором,,не'которой,,некотором,"#_a_, accent_chg:0",не'которых,,,,,,,,,,,,,,,prep_n:0,"acc_m,acc_pl"
немецкий,неме'цкий,кий,German,False,,неме'цкий,,неме'цкая,,неме'цкое,,неме'цкие,,неме'цкого,,неме'цкой,,неме'цкого,,неме'цких,,неме'цкому,,неме'цкой,,неме'цкому,,неме'цким,,неме'цкий/неме'цкого,"#__m, ",неме'цкую,,неме'цкое,,неме'цкие/неме'цких,"#__m, ",неме'цким,,неме'цкой/(неме'цкою),"#__m, ",неме'цким,,неме'цкими,,неме'цком,,неме'цкой,,неме'цком,,неме'цких,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
немногий,немно'гий,гий,"not many, few",False,,немно'гий,,немно'гая,,немно'гое,,немно'гие,,немно'гого,,немно'гой,,немно'гого,,немно'гих,,немно'гому,,немно'гой,,немно'гому,,немно'гим,,немно'гий/немно'гого,"#__m, ",немно'гую,,немно'гое,,немно'гие/немно'гих,"#__m, ",немно'гим,,немно'гой/немно'гою,"#__m, ",немно'гим,,немно'гими,,немно'гом,,немно'гой,,немно'гом,,немно'гих,,немно'г,,немно'га,,немно'го,,немно'ги,,,,,,,,"acc_m,acc_pl,inst_f"
немой,немо'й,мой,dumb/mute,False,"Но о самом Косточкине Крист слышал много на этом лишенном слухов прииске, в оглохших, немых бараках.",немо'й,,нема'я,,немо'е,,немы'е,,немо'го,,немо'й,,немо'го,,немы'х,,немо'му,,немо'й,,немо'му,,немы'м,,немо'го/немо'й,"#__m, ",нему'ю,,немо'е,,немы'х/немы'е,"#__m, ",немы'м,,немо'й/немо'ю,"#__m, ",немы'м,,немы'ми,,немо'м,,немо'й,,немо'м,,немы'х,,не'м,"#_a_, accent_chg:0",нема',,немо',,немы',,,,,,,short_m:0,"acc_m,acc_pl,inst_f"
неотъемлемый,неотъе'млемый,мый,inalienable or integral; something that cannot be taken away,False,,неотъе'млемый,,неотъе'млемая,,неотъе'млемое,,неотъе'млемые,,неотъе'млемого,,неотъе'млемой,,неотъе'млемого,,неотъе'млемых,,неотъе'млемому,,неотъе'млемой,,неотъе'млемому,,неотъе'млемым,,неотъе'млемый/неотъе'млемого,"#__m, ",неотъе'млемую,,неотъе'млемое,,неотъе'млемые/неотъе'млемых,"#__m, ",неотъе'млемым,,неотъе'млемой/неотъе'млемою,"#__m, ",неотъе'млемым,,неотъе'млемыми,,неотъе'млемом,,неотъе'млемой,,неотъе'млемом,,неотъе'млемых,,неотъе'млем,,неотъе'млема,,неотъе'млемо,,неотъе'млемы,,,,,,,,"acc_m,acc_pl,inst_f"
непонятный,непоня'тный,ный,"incomprehensible, unintelligible, obscure",,,непоня'тный,,непоня'тная,,непоня'тное,,непоня'тные,,непоня'тного,,непоня'тной,,непоня'тного,,непоня'тных,,непоня'тному,,непоня'тной,,непоня'тному,,непоня'тным,,непоня'тный/непоня'тного,"#__m, ",непоня'тную,,непоня'тное,,непоня'тные/непоня'тных,"#__m, ",непоня'тным,,непоня'тной/(непоня'тною),"#__m, ",непоня'тным,,непоня'тными,,непоня'тном,,непоня'тной,,непоня'тном,,непоня'тных,,непоня'тен,"#i__, irreg_decl:0",непоня'тна,,непоня'тно,,непоня'тны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
неправильный,непра'вильный,ный,irregular wrong incorrect,False,,непра'вильный,,непра'вильная,,непра'вильное,,непра'вильные,,непра'вильного,,непра'вильной,,непра'вильного,,непра'вильных,,непра'вильному,,непра'вильной,,непра'вильному,,непра'вильным,,непра'вильный/непра'вильного,"#__m, ",непра'вильную,,непра'вильное,,непра'вильные/непра'вильных,"#__m, ",непра'вильным,,непра'вильной/(непра'вильною),"#__m, ",непра'вильным,,непра'вильными,,непра'вильном,,непра'вильной,,непра'вильном,,непра'вильных,,непра'вилен,"#i__, irreg_decl:0",непра'вильна,,непра'вильно,,непра'вильны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
несомненный,несомне'нный,ный,undoubtedly; obviously; without question,False,,несомне'нный,,несомне'нная,,несомне'нное,,несомне'нные,,несомне'нного,,несомне'нной,,несомне'нного,,несомне'нных,,несомне'нному,,несомне'нной,,несомне'нному,,несомне'нным,,несомне'нный/несомне'нного,"#__m, ",несомне'нную,,несомне'нное,,несомне'нные/несомне'нных,"#__m, ",несомне'нным,,несомне'нной/несомне'нною,"#__m, ",несомне'нным,,несомне'нными,,несомне'нном,,несомне'нной,,несомне'нном,,несомне'нных,,несомне'нен,"#i__, irreg_decl:0",несомне'нна,,несомне'нно,,несомне'нны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
неудивительный,неудиви'тельный,ный,unsurprising,False,,неудиви'тельный,,неудиви'тельная,,неудиви'тельное,,неудиви'тельные,,неудиви'тельного,,неудиви'тельной,,неудиви'тельного,,неудиви'тельных,,неудиви'тельному,,неудиви'тельной,,неудиви'тельному,,неудиви'тельным,,неудиви'тельный/неудиви'тельного,"#__m, ",неудиви'тельную,,неудиви'тельное,,неудиви'тельные/неудиви'тельных,"#__m, ",неудиви'тельным,,неудиви'тельной/неудиви'тельною,"#__m, ",неудиви'тельным,,неудиви'тельными,,неудиви'тельном,,неудиви'тельной,,неудиви'тельном,,неудиви'тельных,,неудиви'телен,"#i__, irreg_decl:0",неудиви'тельна,,неудиви'тельно,,неудиви'тельны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
новый,но'вый,вый,new,False,,но'вый,,но'вая,,но'вое,,но'вые,,но'вого,,но'вой,,но'вого,,но'вых,,но'вому,,но'вой,,но'вому,,но'вым,,но'вый/но'вого,"#__m, ",но'вую,,но'вое,,но'вые/но'вых,"#__m, ",но'вым,,но'вой/но'вою,"#__m, ",но'вым,,но'выми,,но'вом,,но'вой,,но'вом,,но'вых,,но'в,,нова',"#_a_, accent_chg:0",но'во,,но'вы/новы',"#_am, accent_chg:1",нове'е,,нове'йший,,,"short_f:0,short_pl:1","acc_m,acc_pl,inst_f,short_pl"
нормальный,норма'льный,ный,"normal, sane",False,,норма'льный,,норма'льная,,норма'льное,,норма'льные,,норма'льного,,норма'льной,,норма'льного,,норма'льных,,норма'льному,,норма'льной,,норма'льному,,норма'льным,,норма'льный/норма'льного,"#__m, ",норма'льную,,норма'льное,,норма'льные/норма'льных,"#__m, ",норма'льным,,норма'льной/(норма'льною),"#__m, ",норма'льным,,норма'льными,,норма'льном,,норма'льной,,норма'льном,,норма'льных,,норма'лен,"#i__, irreg_decl:0",норма'льна,,норма'льно,,норма'льны,,норма'льнее,,норма'льнейший,,short_m:0,,"acc_m,acc_pl,inst_f"
нужный,ну'жный,ный,"necessary, needed, the right, the correct",False,Dative + нужно + infinitive\nDative + short form + nominative,ну'жный,,ну'жная,,ну'жное,,ну'жные,,ну'жного,,ну'жной,,ну'жного,,ну'жных,,ну'жному,,ну'жной,,ну'жному,,ну'жным,,ну'жный/ну'жного,"#__m, ",ну'жную,,ну'жное,,ну'жные/ну'жных,"#__m, ",ну'жным,,ну'жной/(ну'жною),"#__m, ",ну'жным,,ну'жными,,ну'жном,,ну'жной,,ну'жном,,ну'жных,,ну'жен,"#i__, irreg_decl:0",нужна',"#_a_, accent_chg:0",ну'жно,,нужны',"#_a_, accent_chg:0",нужнее,"#_a_, accent_chg:0",,,short_m:0,"short_f:0,short_pl:0,comparative:0","acc_m,acc_pl,inst_f"
оба,о'ба,оба,both,False,nom.: о́ба 	                о́бе\ngen.:   обо́их 	        обе́их\ndat.:   обо́им 	        обе́им\nacc.:   обо́их / о́ба 	обе́их / о́бе\ninst.:  обо́ими               обе́ими\nprep.: обо́их                  обе́их,о'ба,"#i__, irreg_decl:0",о'бе,"#i__, irreg_decl:0",о'ба,"#i__, irreg_decl:0",,,обо'их,"#ia_, irreg_decl:0, accent_chg:0",обе'их,"#ia_, irreg_decl:0, accent_chg:0",обо'их,"#ia_, irreg_decl:0, accent_chg:0",,,обо'им,"#ia_, irreg_decl:0, accent_chg:0",обе'им,"#ia_, irreg_decl:0, accent_chg:0",обо'им,"#ia_, irreg_decl:0, accent_chg:0",,,о'ба,"#i__, irreg_decl:0",о'бе,"#i__, irreg_decl:0",о'ба,"#i__, irreg_decl:0",,,обо'ими,"#ia_, irreg_decl:0, accent_chg:0",обе'ими,"#ia_, irreg_decl:0, accent_chg:0",обо'ими,"#ia_, irreg_decl:0, accent_chg:0",,,обо'их,"#ia_, irreg_decl:0, accent_chg:0",обе'их,"#ia_, irreg_decl:0, accent_chg:0",обо'их,"#ia_, irreg_decl:0, accent_chg:0",,,,,,,,,,,,,,,"nom_m:0,nom_f:0,nom_n:0,gen_m:0,gen_f:0,gen_n:0,dat_m:0,dat_f:0,dat_n:0,acc_m:0,acc_f:0,acc_n:0,inst_m:0,inst_f:0,inst_n:0,prep_m:0,prep_f:0,prep_n:0","gen_m:0,gen_f:0,gen_n:0,dat_m:0,dat_f:0,dat_n:0,inst_m:0,inst_f:0,inst_n:0,prep_m:0,prep_f:0,prep_n:0",
общепризнанный,общепри'знанный,ный,universally recognized,,,общепри'знанный,,общепри'знанная,,общепри'знанное,,общепри'знанные,,общепри'знанного,,общепри'знанной,,общепри'знанного,,общепри'знанных,,общепри'знанному,,общепри'знанной,,общепри'знанному,,общепри'знанным,,общепри'знанный/общепри'знанного,"#__m, ",общепри'знанную,,общепри'знанное,,общепри'знанные/общепри'знанных,"#__m, ",общепри'знанным,,общепри'знанной/общепри'знанною,"#__m, ",общепри'знанным,,общепри'знанными,,общепри'знанном,,общепри'знанной,,общепри'знанном,,общепри'знанных,,общепри'знан,"#i__, irreg_decl:0",общепри'знанна,,общепри'знанно,,общепри'знанны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
общий,о'бщий,щий,"common, general, overall; public",False,,о'бщий,,о'бщая,,о'бщее,,о'бщие,,о'бщего,,о'бщей,,о'бщего,,о'бщих,,о'бщему,,о'бщей,,о'бщему,,о'бщим,,о'бщего/о'бщий,"#__m, ",о'бщую,,о'бщее,,о'бщих/о'бщие,"#__m, ",о'бщим,,о'бщей/о'бщею,"#__m, ",о'бщим,,о'бщими,,о'бщем,,о'бщей,,о'бщем,,о'бщих,,о'бщ,,обща',"#_a_, accent_chg:0",о'бще,,о'бщи,,обще'е/обще'й,"#__m, ",са'мый о'бщий,"#ia_, irreg_decl:0, accent_chg:0",superlative:0,"short_f:0,superlative:0","acc_m,acc_pl,inst_f,comparative"
обычный,обы'чный,ный,"usual, customary; ordinary",False,,обы'чный,,обы'чная,,обы'чное,,обы'чные,,обы'чного,,обы'чной,,обы'чного,,обы'чных,,обы'чному,,обы'чной,,обы'чному,,обы'чным,,обы'чный/обы'чного,"#__m, ",обы'чную,,обы'чное,,обы'чные/обы'чных,"#__m, ",обы'чным,,обы'чной/(обы'чною),"#__m, ",обы'чным,,обы'чными,,обы'чном,,обы'чной,,обы'чном,,обы'чных,,обы'чен,"#i__, irreg_decl:0",обы'чна,,обы'чно,,обы'чны,,обы'чнее,,,,short_m:0,,"acc_m,acc_pl,inst_f"
огромный,огро'мный,ный,"enormous, huge, vast",False,,огро'мный,,огро'мная,,огро'мное,,огро'мные,,огро'много,,огро'мной,,огро'много,,огро'мных,,огро'мному,,огро'мной,,огро'мному,,огро'мным,,огро'мный/огро'много,"#__m, ",огро'мную,,огро'мное,,огро'мные/огро'мных,"#__m, ",огро'мным,,огро'мной/(огро'мною),"#__m, ",огро'мным,,огро'мными,,огро'мном,,огро'мной,,огро'мном,,огро'мных,,огро'мен,"#i__, irreg_decl:0",огро'мна,,огро'мно,,огро'мны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
