bare_form,accented_form,suffix,translations,is_incomparable,usage,nom_m,nom_m_tags,nom_f,nom_f_tags,nom_n,nom_n_tags,nom_pl,nom_pl_tags,gen_m,gen_m_tags,gen_f,gen_f_tags,gen_n,gen_n_tags,gen_pl,gen_pl_tags,dat_m,dat_m_tags,dat_f,dat_f_tags,dat_n,dat_n_tags,dat_pl,dat_pl_tags,acc_m,acc_m_tags,acc_f,acc_f_tags,acc_n,acc_n_tags,acc_pl,acc_pl_tags,inst_m,inst_m_tags,inst_f,inst_f_tags,inst_n,inst_n_tags,inst_pl,inst_pl_tags,prep_m,prep_m_tags,prep_f,prep_f_tags,prep_n,prep_n_tags,prep_pl,prep_pl_tags,short_m,short_m_tags,short_f,short_f_tags,short_n,short_n_tags,short_pl,short_pl_tags,comparative,comparative_tags,superlative,superlative_tags,irreg_decl,accent_chg,multi_vars
арестованный,аресто'ванный,ный,prisoner; arrested,False,,аресто'ванный,,аресто'ванная,,аресто'ванное,,аресто'ванные,,аресто'ванного,,аресто'ванной,,аресто'ванного,,аресто'ванных,,аресто'ванному,,аресто'ванной,,аресто'ванному,,аресто'ванным,,аресто'ванный/аресто'ванного,"#__m, ",аресто'ванную,,аресто'ванное,,аресто'ванные/аресто'ванных,"#__m, ",аресто'ванным,,аресто'ванной/аресто'ванною,"#__m, ",аресто'ванным,,аресто'ванными,,аресто'ванном,,аресто'ванной,,аресто'ванном,,аресто'ванных,,аресто'ван,"#i__, irreg_decl:0",аресто'вана,"#i__, irreg_decl:0",аресто'вано,"#i__, irreg_decl:0",аресто'ваны,"#i__, irreg_decl:0",,,,,"short_m:0,short_f:0,short_n:0,short_pl:0",,"acc_m,acc_pl,inst_f"
бедный,бе'дный,ный,poor,False,,бе'дный,,бе'дная,,бе'дное,,бе'дные,,бе'дного,,бе'дной,,бе'дного,,бе'дных,,бе'дному,,бе'дной,,бе'дному,,бе'дным,,бе'дный/бе'дного,"#__m, ",бе'дную,,бе'дное,,бе'дные/бе'дных,"#__m, ",бе'дным,,бе'дной/(бе'дною),"#__m, ",бе'дным,,бе'дными,,бе'дном,,бе'дной,,бе'дном,,бе'дных,,бе'ден,"#i__, irreg_decl:0",бедна',"#_a_, accent_chg:0",бе'дно,,бе'дны/бедны',"#_am, accent_chg:1",бедне'е,,бедне'йший,,short_m:0,"short_f:0,short_pl:1","acc_m,acc_pl,inst_f,short_pl"
белый,бе'лый,лый,white,False,,бе'лый,,бе'лая,,бе'лое,,бе'лые,,бе'лого,,бе'лой,,бе'лого,,бе'лых,,бе'лому,,бе'лой,,бе'лому,,бе'лым,,бе'лый/бе'лого,"#__m, ",бе'лую,,бе'лое,,бе'лые/бе'лых,"#__m, ",бе'лым,,бе'лой/бе'лою,"#__m, ",бе'лым,,бе'лыми,,бе'лом,,бе'лой,,бе'лом,,бе'лых,,бе'л,,бела',"#_a_, accent_chg:0",бе'ло/бело',"#_am, accent_chg:1",бе'лы/белы',"#_am, accent_chg:1",беле'е/беле'й/побеле'е/побеле'й,"#_am, accent_chg:2:3",беле'йший,,,"short_f:0,short_n:1,short_pl:1,comparative:2:3","acc_m,acc_pl,inst_f,short_n,short_pl,comparative"
бенгальский,бенга'льский,кий,"Bengal, Bengalese",,,бенга'льский,,бенга'льская,,бенга'льское,,бенга'льские,,бенга'льского,,бенга'льской,,бенга'льского,,бенга'льских,,бенга'льскому,,бенга'льской,,бенга'льскому,,бенга'льским,,бенга'льский/бенга'льского,"#__m, ",бенга'льскую,,бенга'льское,,бенга'льские/бенга'льских,"#__m, ",бенга'льским,,бенга'льской/бенга'льскою,"#__m, ",бенга'льским,,бенга'льскими,,бенга'льском,,бенга'льской,,бенга'льском,,бенга'льских,,бенга'льск,,бенга'льска,,бенга'льско,,бенга'льски,,,,,,,,"acc_m,acc_pl,inst_f"
бесплатный,беспла'тный,ный,"free, gratuitous, rent-free",,,беспла'тный,,беспла'тная,,беспла'тное,,беспла'тные,,беспла'тного,,беспла'тной,,беспла'тного,,беспла'тных,,беспла'тному,,беспла'тной,,беспла'тному,,беспла'тным,,беспла'тный/беспла'тного,"#__m, ",беспла'тную,,беспла'тное,,беспла'тные/беспла'тных,"#__m, ",беспла'тным,,беспла'тной/(беспла'тною),"#__m, ",беспла'тным,,беспла'тными,,беспла'тном,,беспла'тной,,беспла'тном,,беспла'тных,,беспла'тен,"#i__, irreg_decl:0",беспла'тна,,беспла'тно,,беспла'тны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
бесполезный,бесполе'зный,ный,useless (adj),False,,бесполе'зный,,бесполе'зная,,бесполе'зное,,бесполе'зные,,бесполе'зного,,бесполе'зной,,бесполе'зного,,бесполе'зных,,бесполе'зному,,бесполе'зной,,бесполе'зному,,бесполе'зным,,бесполе'зный/бесполе'зного,"#__m, ",бесполе'зную,,бесполе'зное,,бесполе'зные/бесполе'зных,"#__m, ",бесполе'зным,,бесполе'зной/(бесполе'зною),"#__m, ",бесполе'зным,,бесполе'зными,,бесполе'зном,,бесполе'зной,,бесполе'зном,,бесполе'зных,,бесполе'зен,"#i__, irreg_decl:0",бесполе'зна,,бесполе'зно,,бесполе'зны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
бешеный,бе'шеный,ный,"rabid, mad; furious, frantic",False,,бе'шеный,,бе'шеная,,бе'шеное,,бе'шеные,,бе'шеного,,бе'шеной,,бе'шеного,,бе'шеных,,бе'шеному,,бе'шеной,,бе'шеному,,бе'шеным,,бе'шеный/бе'шеного,"#__m, ",бе'шеную,,бе'шеное,,бе'шеные/бе'шеных,"#__m, ",бе'шеным,,бе'шеной/(бе'шеною),"#__m, ",бе'шеным,,бе'шеными,,бе'шеном,,бе'шеной,,бе'шеном,,бе'шеных,,бе'шен,,бе'шена,,бе'шено,,бе'шены,,,,,,,,"acc_m,acc_pl,inst_f"
биологический,биологи'ческий,кий,biological,,,биологи'ческий,,биологи'ческая,,биологи'ческое,,биологи'ческие,,биологи'ческого,,биологи'ческой,,биологи'ческого,,биологи'ческих,,биологи'ческому,,биологи'ческой,,биологи'ческому,,биологи'ческим,,биологи'ческий/биологи'ческого,"#__m, ",биологи'ческую,,биологи'ческое,,биологи'ческие/биологи'ческих,"#__m, ",биологи'ческим,,биологи'ческой/(биологи'ческою),"#__m, ",биологи'ческим,,биологи'ческими,,биологи'ческом,,биологи'ческой,,биологи'ческом,,биологи'ческих,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
близкий,бли'зкий,кий,close/near,False,,бли'зкий,,бли'зкая,,бли'зкое,,бли'зкие,,бли'зкого,,бли'зкой,,бли'зкого,,бли'зких,,бли'зкому,,бли'зкой,,бли'зкому,,бли'зким,,бли'зкий/бли'зкого,"#__m, ",бли'зкую,,бли'зкое,,бли'зкие/бли'зких,"#__m, ",бли'зким,,бли'зкой/(бли'зкою),"#__m, ",бли'зким,,бли'зкими,,бли'зком,,бли'зкой,,бли'зком,,бли'зких,,бли'зок,"#i__, irreg_decl:0",близка',"#_a_, accent_chg:0",бли'зко,,бли'зки,,бли'же,"#i__, irreg_decl:0",ближа'йший,"#ia_, irreg_decl:0, accent_chg:0","short_m:0,comparative:0,superlative:0","short_f:0,superlative:0","acc_m,acc_pl,inst_f"
богатый,бога'тый,тый,rich,False,,бога'тый,,бога'тая,,бога'тое,,бога'тые,,бога'того,,бога'той,,бога'того,,бога'тых,,бога'тому,,бога'той,,бога'тому,,бога'тым,,бога'того/бога'тый,"#__m, ",бога'тую,,бога'тое,,бога'тых/бога'тые,"#__m, ",бога'тым,,бога'той/бога'тою,"#__m, ",бога'тым,,бога'тыми,,бога'том,,бога'той,,бога'том,,бога'тых,,бога'т,,бога'та,,бога'то,,бога'ты,,бога'че,,са'мый бога'тый/богате'йший,"#iam, irreg_decl:0:1, accent_chg:0",superlative:0:1,superlative:0,"acc_m,acc_pl,inst_f,superlative"
