bare_form,accented_form,last_letter,gender,translations,is_animate,is_indeclinable,is_sg_only,is_pl_only,partner,usage,nom_sg,nom_sg_tags,nom_pl,nom_pl_tags,gen_sg,gen_sg_tags,gen_pl,gen_pl_tags,dat_sg,dat_sg_tags,dat_pl,dat_pl_tags,acc_sg,acc_sg_tags,acc_pl,acc_pl_tags,inst_sg,inst_sg_tags,inst_pl,inst_pl_tags,prep_sg,prep_sg_tags,prep_pl,prep_pl_tags,irreg_decl,Irreg_decl,accent_chg,multi_vars
соус,со'ус,с,m,"sauce, gravy, dressing",False,False,False,False,,,со'ус,,со'усы,,со'уса,,со'усов,,со'усу,,со'усам,,со'ус,,со'усы,,со'усом,,со'усами,,со'усе,,со'усах,,,,,
соцсеть,соцсе'ть,ь,f,"social network, social media; Social system (informal)",,False,False,False,,"Note: ""соцсеть"" is a shorthand for ""социальная сеть"" (social network).\nEtymology: Derived from Russian ""социальный"" (social) + ""сеть"" (network, web).",соцсе'ть,,соцсе'ти,,соцсе'ти,,соцсе'тей,,соцсе'ти,,соцсе'тям,,соцсе'ть,,соцсе'ти,,соцсе'тью,,соцсе'тями,,соцсе'ти,,соцсе'тях,,,,,
союз,сою'з,з,m,"union, alliance, Union, league, agreement, conjunction",False,False,False,False,,,сою'з,,сою'зы,,сою'за,,сою'зов,,сою'зу,,сою'зам,,сою'з,,сою'зы,,сою'зом,,сою'зами,,сою'зе,,сою'зах,,,,,
спектакль,спекта'кль,ь,m,"play, performance",False,False,False,False,,,спекта'кль,,спекта'кли,,спекта'кля,,спекта'клей,,спекта'клю,,спекта'клям,,спекта'кль,,спекта'кли,,спекта'клем,,спекта'клями,,спекта'кле,,спекта'клях,,,,,
спина,спина',а,f,back,False,False,False,False,,,спина',,спи'ны,"#__a_, accent_chg:0",спины',,спи'н,"#__a_, accent_chg:0",спине',,спи'нам,"#__a_, accent_chg:0",спи'ну,"#__a_, accent_chg:0",спи'ны,"#__a_, accent_chg:0",спино'й/спино'ю,"#___m, ",спи'нами,"#__a_, accent_chg:0",спине',,спи'нах,"#__a_, accent_chg:0",,,"nom_pl:0,gen_pl:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_pl:0,prep_pl:0",inst_sg
спорт,спо'рт,т,m,sport,False,False,False,False,,,спо'рт,,спо'рты,,спо'рта,,спо'ртов,,спо'рту,,спо'ртам,,спо'рт,,спо'рты,,спо'ртом,,спо'ртами,,спо'рте,,спо'ртах,,,,,
спортсмен,спортсме'н,н,m,"athlete, sportsman",True,False,False,False,,,спортсме'н,,спортсме'ны,,спортсме'на,,спортсме'нов,,спортсме'ну,,спортсме'нам,,спортсме'на,,спортсме'нов,,спортсме'ном,,спортсме'нами,,спортсме'не,,спортсме'нах,,,,,
способ,спо'соб,б,m,way; method,False,False,False,False,,,спо'соб,,спо'собы,,спо'соба,,спо'собов,,спо'собу,,спо'собам,,спо'соб,,спо'собы,,спо'собом,,спо'собами,,спо'собе,,спо'собах,,,,,
способности,спосо'бности,и,f,"capabilities, abilities",,False,False,True,,,,,способности,"#iI__, irreg_decl:0, Irreg_decl:0",,,способностей,"#iI__, irreg_decl:0, Irreg_decl:0",,,способностям,"#iI__, irreg_decl:0, Irreg_decl:0",,,способности,"#iI__, irreg_decl:0, Irreg_decl:0",,,способностями,"#iI__, irreg_decl:0, Irreg_decl:0",,,способностях,"#iI__, irreg_decl:0, Irreg_decl:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0",,
способность,спосо'бность,ь,f,ability,False,False,False,False,,,спосо'бность,,спосо'бности,,спосо'бности,,спосо'бностей,,спосо'бности,,спосо'бностям,,спосо'бность,,спосо'бности,,спосо'бностью,,спосо'бностями,,спосо'бности,,спосо'бностях,,,,,
справа,спра'ва,а,f,on the right; from the right,False,False,False,False,,,спра'ва,,спра'вы,,спра'вы,,спра'в,,спра'ве,,спра'вам,,спра'ву,,спра'вы,,спра'вой/спра'вою,"#___m, ",спра'вами,,спра'ве,,спра'вах,,,,,inst_sg
сравнение,сравне'ние,е,n,comparison,False,False,False,False,,,сравне'ние,,сравне'ния,,сравне'ния,,сравне'ний,,сравне'нию,,сравне'ниям,,сравне'ние,,сравне'ния,,сравне'нием,,сравне'ниями,,сравне'нии,,сравне'ниях,,,,,
среда,среда',а,f,"Wednesday; environment, medium",False,False,False,False,,,среда',,сре'ды,"#__a_, accent_chg:0",среды',,сре'д,"#__a_, accent_chg:0",среде',,среда'м,,сре'ду,"#__a_, accent_chg:0",сре'ды,"#__a_, accent_chg:0",средо'й/средо'ю,"#___m, ",среда'ми,,среде',,среда'х,,,,"nom_pl:0,gen_pl:0,acc_sg:0,acc_pl:0",inst_sg
стакан,стака'н,н,m,glass,False,False,False,False,,,стака'н,,стака'ны,,стака'на,,стака'нов,,стака'ну,,стака'нам,,стака'н,,стака'ны,,стака'ном,,стака'нами,,стака'не,,стака'нах,,,,,
старик,стари'к,к,m,old man; parents (colloquial plural),True,False,False,False,старуха,,стари'к,,старики',"#__a_, accent_chg:0",старика',"#__a_, accent_chg:0",старико'в,"#__a_, accent_chg:0",старику',"#__a_, accent_chg:0",старика'м,"#__a_, accent_chg:0",старика',"#__a_, accent_chg:0",старико'в,"#__a_, accent_chg:0",старико'м,"#__a_, accent_chg:0",старика'ми,"#__a_, accent_chg:0",старике',"#__a_, accent_chg:0",старика'х,"#__a_, accent_chg:0",,,"nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",
статус,ста'тус,с,m,status,False,False,False,False,,,ста'тус,,ста'тусы,,ста'туса,,ста'тусов,,ста'тусу,,ста'тусам,,ста'тус,,ста'тусы,,ста'тусом,,ста'тусами,,ста'тусе,,ста'тусах,,,,,
стать,ста'ть,ь,f,"article; character, type; points of a horse; need, necessity",False,False,False,False,,,ста'ть,,ста'ти,,ста'ти,,ста'тей,,ста'ти,,ста'тям,,ста'ть,,ста'ти,,ста'тью,,ста'тями,,ста'ти,,ста'тях,,,,,
статья,статья',я,f,"article, item, clause, point, class, rating",False,False,False,False,,,статья',,статьи',,статьи',,стате'й,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",статье',,статья'м,,статью',,статьи',,статьё'й/статьё'ю,"#iI_m, irreg_decl:0, Irreg_decl:0",статья'ми,,статье',,статья'х,,"gen_pl:0,inst_sg:0","gen_pl:0,inst_sg:0",gen_pl:0,inst_sg
стен,сте'н,н,m,"sthene, obsolete unit of measure of force or thrust",False,False,False,False,,,сте'н,,сте'ны,,сте'на,,сте'нов,,сте'ну,,сте'нам,,сте'н,,сте'ны,,сте'ном,,сте'нами,,сте'не,,сте'нах,,,,,
стена,стена',а,f,wall,False,False,False,False,,,стена',,сте'ны,"#__a_, accent_chg:0",стены',,сте'н,"#__a_, accent_chg:0",стене',,сте'нам,"#__a_, accent_chg:0",сте'ну,"#__a_, accent_chg:0",сте'ны,"#__a_, accent_chg:0",стено'й/стено'ю,"#___m, ",сте'нами,"#__a_, accent_chg:0",стене',,сте'нах,"#__a_, accent_chg:0",,,"nom_pl:0,gen_pl:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_pl:0,prep_pl:0",inst_sg
стиль,сти'ль,ь,m,style,False,False,False,False,,,сти'ль,,сти'ли,,сти'ля,,сти'лей,,сти'лю,,сти'лям,,сти'ль,,сти'ли,,сти'лем,,сти'лями,,сти'ле,,сти'лях,,,,,
стих,сти'х,х,m,poem,False,False,False,False,,,сти'х,,стихи',"#__a_, accent_chg:0",стиха',"#__a_, accent_chg:0",стихо'в,"#__a_, accent_chg:0",стиху',"#__a_, accent_chg:0",стиха'м,"#__a_, accent_chg:0",сти'х,,стихи',"#__a_, accent_chg:0",стихо'м,"#__a_, accent_chg:0",стиха'ми,"#__a_, accent_chg:0",стихе',"#__a_, accent_chg:0",стиха'х,"#__a_, accent_chg:0",,,"nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",
стол,сто'л,л,m,table,False,False,False,False,,,сто'л,,столы',"#__a_, accent_chg:0",стола',"#__a_, accent_chg:0",столо'в,"#__a_, accent_chg:0",столу',"#__a_, accent_chg:0",стола'м,"#__a_, accent_chg:0",сто'л,,столы',"#__a_, accent_chg:0",столо'м,"#__a_, accent_chg:0",стола'ми,"#__a_, accent_chg:0",столе',"#__a_, accent_chg:0",стола'х,"#__a_, accent_chg:0",,,"nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",
столица,столи'ца,а,f,capital,False,False,False,False,,,столи'ца,,столи'цы,,столи'цы,,столи'ц,,столи'це,,столи'цам,,столи'цу,,столи'цы,,столи'цей/столи'цею,"#___m, ",столи'цами,,столи'це,,столи'цах,,,,,inst_sg
