bare_form,accented_form,last_letter,gender,translations,is_animate,is_indeclinable,is_sg_only,is_pl_only,partner,usage,nom_sg,nom_sg_tags,nom_pl,nom_pl_tags,gen_sg,gen_sg_tags,gen_pl,gen_pl_tags,dat_sg,dat_sg_tags,dat_pl,dat_pl_tags,acc_sg,acc_sg_tags,acc_pl,acc_pl_tags,inst_sg,inst_sg_tags,inst_pl,inst_pl_tags,prep_sg,prep_sg_tags,prep_pl,prep_pl_tags,irreg_decl,Irreg_decl,accent_chg,multi_vars
интеллект,интелле'кт,т,m,"intellect, intelligence",False,False,False,False,,,интелле'кт,,интелле'кты,,интелле'кта,,интелле'ктов,,интелле'кту,,интелле'ктам,,интелле'кт,,интелле'кты,,интелле'ктом,,интелле'ктами,,интелле'кте,,интелле'ктах,,,,,
интерес,интере'с,с,m,interest,False,False,False,False,,,интере'с,,интере'сы,,интере'са,,интере'сов,,интере'су,,интере'сам,,интере'с,,интере'сы,,интере'сом,,интере'сами,,интере'се,,интере'сах,,,,,
интернет,интерне'т,т,m,internet; world wide web; interwebs,False,False,False,False,,,интерне'т,,интерне'ты,,интерне'та,,интерне'тов,,интерне'ту,,интерне'там,,интерне'т,,интерне'ты,,интерне'том,,интерне'тами,,интерне'те,,интерне'тах,,,,,
информация,информа'ция,я,f,information,False,False,True,False,,,информа'ция,,,,информа'ции,,,,информа'ции,,,,информа'цию,,,,информа'цией/информа'циею,"#___m, ",,,информа'ции,,,,,,,inst_sg
искусство,иску'сство,о,n,art,False,False,False,False,,,иску'сство,,иску'сства,,иску'сства,,иску'сств,,иску'сству,,иску'сствам,,иску'сство,,иску'сства,,иску'сством,,иску'сствами,,иску'сстве,,иску'сствах,,,,,
испанец,испа'нец,ц,m,Spaniard,True,False,False,False,испанка,,испа'нец,,испа'нцы,"#iI__, irreg_decl:0, Irreg_decl:0",испа'нца,"#iI__, irreg_decl:0, Irreg_decl:0",испа'нцев,"#iI__, irreg_decl:0, Irreg_decl:0",испа'нцу,"#iI__, irreg_decl:0, Irreg_decl:0",испа'нцам,"#iI__, irreg_decl:0, Irreg_decl:0",испа'нца,"#iI__, irreg_decl:0, Irreg_decl:0",испа'нцев,"#iI__, irreg_decl:0, Irreg_decl:0",испа'нцем,"#iI__, irreg_decl:0, Irreg_decl:0",испа'нцами,"#iI__, irreg_decl:0, Irreg_decl:0",испа'нце,"#iI__, irreg_decl:0, Irreg_decl:0",испа'нцах,"#iI__, irreg_decl:0, Irreg_decl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",,
испанка,испа'нка,а,f,Spanish woman,True,False,False,False,испанец,,испа'нка,,испа'нки,,испа'нки,,испа'нок,"#iI__, irreg_decl:0, Irreg_decl:0",испа'нке,,испа'нкам,,испа'нку,,испа'нок,"#iI__, irreg_decl:0, Irreg_decl:0",испа'нкой/испа'нкою,"#___m, ",испа'нками,,испа'нке,,испа'нках,,"gen_pl:0,acc_pl:0","gen_pl:0,acc_pl:0",,inst_sg
использование,испо'льзование,е,n,"utilization, usage, using, utilisation",False,False,False,False,,с использованием: using + genitive,испо'льзование,,испо'льзования,,испо'льзования,,испо'льзований,,испо'льзованию,,испо'льзованиям,,испо'льзование,,испо'льзования,,испо'льзованием,,испо'льзованиями,,испо'льзовании,,испо'льзованиях,,,,,
историк,исто'рик,к,m,historian,True,False,False,False,,,исто'рик,,исто'рики,,исто'рика,,исто'риков,,исто'рику,,исто'рикам,,исто'рика,,исто'риков,,исто'риком,,исто'риками,,исто'рике,,исто'риках,,,,,
история,исто'рия,я,f,"history, story, event; affair, thing",False,False,False,False,,,исто'рия,,исто'рии,,исто'рии,,исто'рий,,исто'рии,,исто'риям,,исто'рию,,исто'рии,,исто'рией/исто'риею,"#___m, ",исто'риями,,исто'рии,,исто'риях,,,,,inst_sg
источник,исто'чник,к,m,"source, a place where something is born appears or begins to spread; spring",False,False,False,False,,,исто'чник,,исто'чники,,исто'чника,,исто'чников,,исто'чнику,,исто'чникам,,исто'чник,,исто'чники,,исто'чником,,исто'чниками,,исто'чнике,,исто'чниках,,,,,
итальянка,италья'нка,а,f,Italian woman,True,False,False,False,итальянец,,италья'нка,,италья'нки,,италья'нки,,италья'нок,"#iI__, irreg_decl:0, Irreg_decl:0",италья'нке,,италья'нкам,,италья'нку,,италья'нок,"#iI__, irreg_decl:0, Irreg_decl:0",италья'нкой/италья'нкою,"#___m, ",италья'нками,,италья'нке,,италья'нках,,"gen_pl:0,acc_pl:0","gen_pl:0,acc_pl:0",,inst_sg
июль,ию'ль,ь,m,July,False,False,False,False,,,ию'ль,,ию'ли,,ию'ля,,ию'лей,,ию'лю,,ию'лям,,ию'ль,,ию'ли,,ию'лем,,ию'лями,,ию'ле,,ию'лях,,,,,
июнь,ию'нь,ь,m,June,False,False,False,False,,,ию'нь,,ию'ни,,ию'ня,,ию'ней,,ию'ню,,ию'ням,,ию'нь,,ию'ни,,ию'нем,,ию'нями,,ию'не,,ию'нях,,,,,
кабинет,кабине'т,т,m,"office, suite, cabinet; classroom",False,False,False,False,,,кабине'т,,кабине'ты,,кабине'та,,кабине'тов,,кабине'ту,,кабине'там,,кабине'т,,кабине'ты,,кабине'том,,кабине'тами,,кабине'те,,кабине'тах,,,,,
какао,кака'о,о,n,"cocoa, cacao",False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
канал,кана'л,л,m,"canal, duct, bore; channel",False,False,False,False,,,кана'л,,кана'лы,,кана'ла,,кана'лов,,кана'лу,,кана'лам,,кана'л,,кана'лы,,кана'лом,,кана'лами,,кана'ле,,кана'лах,,,,,
каникулы,кани'кулы,ы,f,"student vacation, vacation, holidays",False,False,False,True,,UK = School hols,,,кани'кулы,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",,,кани'кул,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",,,кани'кулам,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",,,кани'кулы,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",,,кани'кулами,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",,,кани'кулах,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0",
карандаш,каранда'ш,ш,m,pencil,False,False,False,False,,,каранда'ш,,карандаши',"#__a_, accent_chg:0",карандаша',"#__a_, accent_chg:0",карандаше'й,"#__a_, accent_chg:0",карандашу',"#__a_, accent_chg:0",карандаша'м,"#__a_, accent_chg:0",каранда'ш,,карандаши',"#__a_, accent_chg:0",карандашо'м,"#__a_, accent_chg:0",карандаша'ми,"#__a_, accent_chg:0",карандаше',"#__a_, accent_chg:0",карандаша'х,"#__a_, accent_chg:0",,,"nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",
карта,ка'рта,а,f,"card; map,",False,False,False,False,,,ка'рта,,ка'рты,,ка'рты,,ка'рт,,ка'рте,,ка'ртам,,ка'рту,,ка'рты,,ка'ртой/ка'ртою,"#___m, ",ка'ртами,,ка'рте,,ка'ртах,,,,,inst_sg
картина,карти'на,а,f,"picture; painting, canvas; scene",False,False,False,False,,,карти'на,,карти'ны,,карти'ны,,карти'н,,карти'не,,карти'нам,,карти'ну,,карти'ны,,карти'ной/карти'ною,"#___m, ",карти'нами,,карти'не,,карти'нах,,,,,inst_sg
картинка,карти'нка,а,f,picture,False,False,False,False,,,карти'нка,,карти'нки,,карти'нки,,карти'нок,"#iI__, irreg_decl:0, Irreg_decl:0",карти'нке,,карти'нкам,,карти'нку,,карти'нки,,карти'нкой/карти'нкою,"#___m, ",карти'нками,,карти'нке,,карти'нках,,gen_pl:0,gen_pl:0,,inst_sg
картофелина,карто'фелина,а,f,potato,False,False,False,False,,,карто'фелина,,карто'фелины,,карто'фелины,,карто'фелин,,карто'фелине,,карто'фелинам,,карто'фелину,,карто'фелины,,карто'фелиной,,карто'фелинами,,карто'фелине,,карто'фелинах,,,,,
картошка,карто'шка,а,f,potato,False,False,False,False,,,карто'шка,,карто'шки,,карто'шки,,карто'шек,"#iI__, irreg_decl:0, Irreg_decl:0",карто'шке,,карто'шкам,,карто'шку,,карто'шки,,карто'шкой/карто'шкою,"#___m, ",карто'шками,,карто'шке,,карто'шках,,gen_pl:0,gen_pl:0,,inst_sg
кастрюля,кастрю'ля,я,f,"cooking pot, pot",False,False,False,False,,"Металлическая посуда, обычно цилиндрической формы, для варки кушанья.",кастрю'ля,,кастрю'ли,,кастрю'ли,,кастрю'ль,"#iI__, irreg_decl:0, Irreg_decl:0",кастрю'ле,,кастрю'лям,,кастрю'лю,,кастрю'ли,,кастрю'лей/кастрю'лею,"#___m, ",кастрю'лями,,кастрю'ле,,кастрю'лях,,gen_pl:0,gen_pl:0,,inst_sg
кафе,кафе',е,n,"café, coffee-house, coffee shop",False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
качество,ка'чество,о,n,quality; as,False,False,False,False,,"""в ка́честве"" + genitive case: as",ка'чество,,ка'чества,,ка'чества,,ка'честв,,ка'честву,,ка'чествам,,ка'чество,,ка'чества,,ка'чеством,,ка'чествами,,ка'честве,,ка'чествах,,,,,
каша,ка'ша,а,f,porridge; jumble/mess,False,False,False,False,,,ка'ша,,ка'ши,,ка'ши,,ка'ш,,ка'ше,,ка'шам,,ка'шу,,ка'ши,,ка'шей/ка'шею,"#___m, ",ка'шами,,ка'ше,,ка'шах,,,,,inst_sg
квартира,кварти'ра,а,f,"flat, quarters; apartment",False,False,False,False,,,кварти'ра,,кварти'ры,,кварти'ры,,кварти'р,,кварти'ре,,кварти'рам,,кварти'ру,,кварти'ры,,кварти'рой/кварти'рою,"#___m, ",кварти'рами,,кварти'ре,,кварти'рах,,,,,inst_sg
килограмм,килогра'мм,м,m,"kilogramme, kilogram",False,False,False,False,,,килогра'мм,,килогра'ммы,,килогра'мма,,килогра'ммов,,килогра'мму,,килогра'ммам,,килогра'мм,,килогра'ммы,,килогра'ммом,,килогра'ммами,,килогра'мме,,килогра'ммах,,,,,
километр,киломе'тр,р,m,kilometre,False,False,False,False,,,киломе'тр,,киломе'тры,,киломе'тра,,киломе'тров,,киломе'тру,,киломе'трам,,киломе'тр,,киломе'тры,,киломе'тром,,киломе'трами,,киломе'тре,,киломе'трах,,,,,
кимоно,кимоно',о,n,kimono,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
кинематограф,кинемато'граф,ф,m,"cinema, cinematograph",False,False,False,False,,,кинемато'граф,,кинемато'графы,,кинемато'графа,,кинемато'графов,,кинемато'графу,,кинемато'графам,,кинемато'граф,,кинемато'графы,,кинемато'графом,,кинемато'графами,,кинемато'графе,,кинемато'графах,,,,,
кино,кино',о,n,cinema,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
киоск,кио'ск,к,m,"kiosk, booth",False,False,False,False,,,кио'ск,,кио'ски,,кио'ска,,кио'сков,,кио'ску,,кио'скам,,кио'ск,,кио'ски,,кио'ском,,кио'сками,,кио'ске,,кио'сках,,,,,
кислород,кислоро'д,д,m,oxygen,False,False,False,False,,,кислоро'д,,кислоро'ды,,кислоро'да,,кислоро'дов,,кислоро'ду,,кислоро'дам,,кислоро'д,,кислоро'ды,,кислоро'дом,,кислоро'дами,,кислоро'де,,кислоро'дах,,,,,
китаец,кита'ец,ц,m,"Chinese man, the Chinese",True,False,False,False,китаянка,,кита'ец,,кита'йцы,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йца,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йцев,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йцу,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йцам,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йца,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йцев,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йцем,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йцами,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йце,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йцах,"#iI__, irreg_decl:0, Irreg_decl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",,
китайский,кита'йский,й,m,Chinese Person,False,False,False,False,,,кита'йский,,кита'йские,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йского,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йских,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йскому,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йским,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йский,,кита'йские,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йским,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йскими,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йском,"#iI__, irreg_decl:0, Irreg_decl:0",кита'йских,"#iI__, irreg_decl:0, Irreg_decl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",,
клавиатура,клавиату'ра,а,f,keyboard,False,False,False,False,,,клавиату'ра,,клавиату'ры,,клавиату'ры,,клавиату'р,,клавиату'ре,,клавиату'рам,,клавиату'ру,,клавиату'ры,,клавиату'рой/клавиату'рою,"#___m, ",клавиату'рами,,клавиату'ре,,клавиату'рах,,,,,inst_sg
клавиш,кла'виш,ш,m,"Key, keys, clavis",False,False,False,False,,,кла'виш,,кла'виши,,кла'виша,,кла'вишей,,кла'вишу,,кла'вишам,,кла'виш,,кла'виши,,кла'вишем,,кла'вишами,,кла'више,,кла'вишах,,,,,
клавиша,кла'виша,а,f,key (on a keyboard or typewriter),False,False,False,False,,,кла'виша,,кла'виши,,кла'виши,,кла'виш,,кла'више,,кла'вишам,,кла'вишу,,кла'виши,,кла'вишей/кла'вишею,"#___m, ",кла'вишами,,кла'више,,кла'вишах,,,,,inst_sg
клад,кла'д,д,m,treasure,False,False,False,False,,,кла'д,,кла'ды,,кла'да,,кла'дов,,кла'ду,,кла'дам,,кла'д,,кла'ды,,кла'дом,,кла'дами,,кла'де,,кла'дах,,,,,
класс,кла'сс,с,m,"class, form, class-room",False,False,False,False,,,кла'сс,,кла'ссы,,кла'сса,,кла'ссов,,кла'ссу,,кла'ссам,,кла'сс,,кла'ссы,,кла'ссом,,кла'ссами,,кла'ссе,,кла'ссах,,,,,
клетка,кле'тка,а,f,"cage, coop, hutch, chest (large box); check / square, checkwork; cell",False,False,False,False,,,кле'тка,,кле'тки,,кле'тки,,кле'ток,"#iI__, irreg_decl:0, Irreg_decl:0",кле'тке,,кле'ткам,,кле'тку,,кле'тки,,кле'ткой/кле'ткою,"#___m, ",кле'тками,,кле'тке,,кле'тках,,gen_pl:0,gen_pl:0,,inst_sg
клуб,клу'б,б,m,"club, club-house, puff",False,False,False,False,,,клу'б,,клубы',"#__a_, accent_chg:0",клу'ба,,клубо'в,"#__a_, accent_chg:0",клу'бу,,клуба'м,"#__a_, accent_chg:0",клу'б,,клубы',"#__a_, accent_chg:0",клу'бом,,клуба'ми,"#__a_, accent_chg:0",клу'бе,,клуба'х,"#__a_, accent_chg:0",,,"nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0",
ключ,клю'ч,ч,m,"key, clue, clef, source, spring, wrench (tool)",False,False,False,False,,,клю'ч,,ключи',"#__a_, accent_chg:0",ключа',"#__a_, accent_chg:0",ключе'й,"#__a_, accent_chg:0",ключу',"#__a_, accent_chg:0",ключа'м,"#__a_, accent_chg:0",клю'ч,,ключи',"#__a_, accent_chg:0",ключо'м,"#__a_, accent_chg:0",ключа'ми,"#__a_, accent_chg:0",ключе',"#__a_, accent_chg:0",ключа'х,"#__a_, accent_chg:0",,,"nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",
книга,кни'га,а,f,"book, volume",False,False,False,False,,,кни'га,,кни'ги,,кни'ги,,кни'г,,кни'ге,,кни'гам,,кни'гу,,кни'ги,,кни'гой/кни'гою,"#___m, ",кни'гами,,кни'ге,,кни'гах,,,,,inst_sg
кнопка,кно'пка,а,f,button,False,False,False,False,,,кно'пка,,кно'пки,,кно'пки,,кно'пок,"#iI__, irreg_decl:0, Irreg_decl:0",кно'пке,,кно'пкам,,кно'пку,,кно'пки,,кно'пкой/кно'пкою,"#___m, ",кно'пками,,кно'пке,,кно'пках,,gen_pl:0,gen_pl:0,,inst_sg
ковёр,ковё'р,р,m,carpet,False,False,False,False,,,ковё'р,,ковры',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ковра',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ковро'в,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ковру',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ковра'м,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ковё'р,,ковры',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ковро'м,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ковра'ми,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ковре',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ковра'х,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",
коктейль,кокте'йль,ь,m,cocktail,False,False,False,False,,,кокте'йль,,кокте'йли,,кокте'йля,,кокте'йлей,,кокте'йлю,,кокте'йлям,,кокте'йль,,кокте'йли,,кокте'йлем,,кокте'йлями,,кокте'йле,,кокте'йлях,,,,,
колбаса,колбаса',а,f,sausage,False,False,False,False,,,колбаса',,колба'сы,"#__a_, accent_chg:0",колбасы',,колба'с,"#__a_, accent_chg:0",колбасе',,колба'сам,"#__a_, accent_chg:0",колбасу',,колба'сы,"#__a_, accent_chg:0",колбасо'й/колбасо'ю,"#___m, ",колба'сами,"#__a_, accent_chg:0",колбасе',,колба'сах,"#__a_, accent_chg:0",,,"nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0",inst_sg
колледж,ко'лледж,ж,m,college,False,False,False,False,,,ко'лледж,,ко'лледжи,,ко'лледжа,,ко'лледжей,,ко'лледжу,,ко'лледжам,,ко'лледж,,ко'лледжи,,ко'лледжем,,ко'лледжами,,ко'лледже,,ко'лледжах,,,,,
колледж,колле'дж,ж,m,college,False,False,False,False,,,колле'дж,,колле'джи,,колле'джа,,колле'джей,,колле'джу,,колле'джам,,колле'дж,,колле'джи,,колле'джем,,колле'джами,,колле'дже,,колле'джах,,,,,
кольцо,кольцо',о,n,"ring, hoop",False,False,False,False,,,кольцо',,ко'льца,"#__a_, accent_chg:0",кольца',,коле'ц,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",кольцу',,ко'льцам,"#__a_, accent_chg:0",кольцо',,ко'льца,"#__a_, accent_chg:0",кольцо'м,,ко'льцами,"#__a_, accent_chg:0",кольце',,ко'льцах,"#__a_, accent_chg:0",gen_pl:0,gen_pl:0,"nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0",
ком,ко'м,м,m,lump ball clod; whom,False,False,False,False,,,ко'м,,ко'мья,"#iI__, irreg_decl:0, Irreg_decl:0",ко'ма,,ко'мьев,"#iI__, irreg_decl:0, Irreg_decl:0",ко'му,,ко'мьям,"#iI__, irreg_decl:0, Irreg_decl:0",ко'м,,ко'мья,"#iI__, irreg_decl:0, Irreg_decl:0",ко'мом,,ко'мьями,"#iI__, irreg_decl:0, Irreg_decl:0",ко'ме,,ко'мьях,"#iI__, irreg_decl:0, Irreg_decl:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0",,
кома,ко'ма,а,f,coma,False,False,False,False,,,ко'ма,,ко'мы,,ко'мы,,ко'м,,ко'ме,,ко'мам,,ко'му,,ко'мы,,ко'мой/ко'мою,"#___m, ",ко'мами,,ко'ме,,ко'мах,,,,,inst_sg
команда,кома'нда,а,f,"team, crew, party; command, order, detachment",False,False,False,False,,,кома'нда,,кома'нды,,кома'нды,,кома'нд,,кома'нде,,кома'ндам,,кома'нду,,кома'нды,,кома'ндой/кома'ндою,"#___m, ",кома'ндами,,кома'нде,,кома'ндах,,,,,inst_sg
комедия,коме'дия,я,f,"comedy, farce",False,False,False,False,,,коме'дия,,коме'дии,,коме'дии,,коме'дий,,коме'дии,,коме'диям,,коме'дию,,коме'дии,,коме'дией/коме'диею,"#___m, ",коме'диями,,коме'дии,,коме'диях,,,,,inst_sg
комната,ко'мната,а,f,room,False,False,False,False,,,ко'мната,,ко'мнаты,,ко'мнаты,,ко'мнат,,ко'мнате,,ко'мнатам,,ко'мнату,,ко'мнаты,,ко'мнатой/ко'мнатою,"#___m, ",ко'мнатами,,ко'мнате,,ко'мнатах,,,,,inst_sg
компания,компа'ния,я,f,company,False,False,False,False,,,компа'ния,,компа'нии,,компа'нии,,компа'ний,,компа'нии,,компа'ниям,,компа'нию,,компа'нии,,компа'нией/компа'ниею,"#___m, ",компа'ниями,,компа'нии,,компа'ниях,,,,,inst_sg
композитор,компози'тор,р,m,composer,True,False,False,False,,,компози'тор,,компози'торы,,компози'тора,,компози'торов,,компози'тору,,компози'торам,,компози'тора,,компози'торов,,компози'тором,,компози'торами,,компози'торе,,компози'торах,,,,,
компьютер,компью'тер,р,m,computer,False,False,False,False,,,компью'тер,,компью'теры,,компью'тера,,компью'теров,,компью'теру,,компью'терам,,компью'тер,,компью'теры,,компью'тером,,компью'терами,,компью'тере,,компью'терах,,,,,
конверт,конве'рт,т,m,"envelope, cover, sleeping bag",False,False,False,False,,,конве'рт,,конве'рты,,конве'рта,,конве'ртов,,конве'рту,,конве'ртам,,конве'рт,,конве'рты,,конве'ртом,,конве'ртами,,конве'рте,,конве'ртах,,,,,
конец,коне'ц,ц,m,"end, ending",False,False,False,False,,в самом конце: in the end,коне'ц,,концы',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",конца',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",концо'в,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",концу',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",конца'м,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",коне'ц,,концы',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",концо'м,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",конца'ми,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",конце',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",конца'х,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",
конфета,конфе'та,а,f,"sweet, bon-bon, sweetmeats, candy",False,False,False,False,,,конфе'та,,конфе'ты,,конфе'ты,,конфе'т,,конфе'те,,конфе'там,,конфе'ту,,конфе'ты,,конфе'той/конфе'тою,"#___m, ",конфе'тами,,конфе'те,,конфе'тах,,,,,inst_sg
концепция,конце'пция,я,f,"concept, conception, idea",False,False,False,False,,,конце'пция,,конце'пции,,конце'пции,,конце'пций,,конце'пции,,конце'пциям,,конце'пцию,,конце'пции,,конце'пцией/конце'пциею,"#___m, ",конце'пциями,,конце'пции,,конце'пциях,,,,,inst_sg
концерт,конце'рт,т,m,"concert, recital, concerto",False,False,False,False,,,конце'рт,,конце'рты,,конце'рта,,конце'ртов,,конце'рту,,конце'ртам,,конце'рт,,конце'рты,,конце'ртом,,конце'ртами,,конце'рте,,конце'ртах,,,,,
коньки,коньки',и,m,skates,False,False,False,False,,,конё'к,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",коньки',"#iI__, irreg_decl:0, Irreg_decl:0",конька',"#iI__, irreg_decl:0, Irreg_decl:0",конько'в,"#iI__, irreg_decl:0, Irreg_decl:0",коньку',"#iI__, irreg_decl:0, Irreg_decl:0",конька'м,"#iI__, irreg_decl:0, Irreg_decl:0",конё'к,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",коньки',"#iI__, irreg_decl:0, Irreg_decl:0",конько'м,"#iI__, irreg_decl:0, Irreg_decl:0",конька'ми,"#iI__, irreg_decl:0, Irreg_decl:0",коньке',"#iI__, irreg_decl:0, Irreg_decl:0",конька'х,"#iI__, irreg_decl:0, Irreg_decl:0","nom_sg:0,nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_sg:0,nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_sg:0,acc_sg:0",
