infinitive,accented_infinitive,stem,suffix,aspect,partners,conjugation_type,ru_verb_presfut_sg1,ru_verb_presfut_sg2,ru_verb_presfut_sg3,ru_verb_presfut_pl1,ru_verb_presfut_pl2,ru_verb_presfut_pl3,ru_verb_imperative_sg,ru_verb_imperative_pl,ru_verb_past_m,ru_verb_past_f,ru_verb_past_n,ru_verb_past_pl
выпить,вы'пить,выпи,ть,perfective,пить;выпивать,*е-conj,(*) вы'пью,(*) вы'пьешь,(*) вы'пьет,(*) вы'пьем,(*) вы'пьете,(*) вы'пьют,(*) вы'пей,(*) вы'пейте,,,,
выполнить,вы'полнить,выполни,ть,perfective,выполнять,и-conj,,,,,,,(*) вы'полни,(*) вы'полните,,,,
вырасти,вы'расти,вырас,ти,perfective,"расти,вырастать",е-conj,(*) вы'расту,(*) вы'растешь,(*) вы'растет,(*) вы'растем,(*) вы'растете,(*) вы'растут,(*) вы'расти,(*) вы'растите,(*) вы'рос,(*) вы'росла,(*) вы'росло,(*) вы'росли
выступать,выступа'ть,выступа,ть,imperfective,выступить,е-conj,,,,,,,,,,,,
выступить,вы'ступить,выступи,ть,perfective,выступать,и-conj,,,,,,,(*) вы'ступи,(*) вы'ступите,,,,
говорить,говори'ть,говори,ть,imperfective,сказать;поговорить,и-conj,,,,,,,,,,,,
голубить,голу'бить,голуби,ть,imperfective,приголубить,и-conj,,,,,,,,,,,,
гостить,гости'ть,гости,ть,imperfective,погостить,и-conj,(*) гощу',,,,,,,,,,,
готовить,гото'вить,готови,ть,imperfective,приготовить;подготовить;заготовить,и-conj,,,,,,,,,,,,
готовиться,гото'виться,готови,ться,imperfective,подготовиться;приготовиться,и-conj,,,,,,,,,,,,
гулять,гуля'ть,гуля,ть,imperfective,погулять;гульну'ть,е-conj,,,,,,,,,,,,
давать,дава'ть,дава,ть,imperfective,дать,е-conj,(*) даю',(*) даёшь,(*) даёт,(*) даём,(*) даёте,(*) даю'т,,,,,,
дать,да'ть,да,ть,perfective,давать,?,(*) да'м,(*) да'шь,(*) да'ст,(*) дади'м,(*) дади'те,(*) даду'т,(*) да'й,(*) да'йте,,(') дала',(') дало',
двигаться,дви'гаться,двига,ться,imperfective,двинуться,е-conj,(*) дви'жусь,(*) дви'жешься,(*) дви'жется,(*) дви'жемся,(*) дви'жетесь,(*) дви'жутся,(*) дви'жься,(*) дви'жьтесь,,,,
деть,де'ть,де,ть,perfective,девать,е-conj,(*) де'ну,(*) де'нешь,(*) де'нет,(*) де'нем,(*) де'нете,(*) де'нут,(*) де'нь,(*) де'ньте,,,,
делать,де'лать,дела,ть,imperfective,сделать;поделать,е-conj,,,,,,,,,,,,
держать,держа'ть,держа,ть,imperfective,подержать;сдержать,*и-conj,,(') де'ржишь,(') де'ржит,(') де'ржим,(') де'ржите,(') де'ржат,,,,,,
длиться,дли'ться,дли,ться,imperfective,продлиться,и-conj,,,,,,,,,,,,
договориться,договори'ться,договори,ться,perfective,договариваться,и-conj,,,,,,,,,,,,
домыть,домы'ть,домы,ть,perfective,домывать,е-conj,(*) домо'ю,(*) домо'ешь,(*) домо'ет,(*) домо'ем,(*) домо'ете,(*) домо'ют,(*) домо'й,(*) домо'йте,,,,
думать,ду'мать,дума,ть,imperfective,подумать,е-conj,,,,,,,,,,,,
душить,души'ть,души,ть,imperfective,задушить;надушить,и-conj,,(') ду'шишь,(') ду'шит,(') ду'шим,(') ду'шите,(') ду'шат,,,,,,
ехать,е'хать,еха,ть,imperfective,поехать;е'здить,е-conj,(*) е'ду,(*) е'дешь,(*) е'дет,(*) е'дем,(*) е'дете,(*) е'дут,(*) езжа'й,(*) езжа'йте,,,,
есть,е'сть,?,?,imperfective,съесть;поесть,е-conj,(*) е'м,(*) е'шь,(*) е'ст,(*) еди'м,(*) еди'те,(*) едя'т,(*) е'шь,(*) е'шьте,(*) е'л,(*) е'ла,(*) е'ло,(*) е'ли
ездить,е'здить,езди,ть,imperfective,поездить;е'хать,и-conj,(*) е'зжу,,,,,,(*) е'зди,(*) е'здите,,,,
жалить,жа'лить,жали,ть,imperfective,ужалить,и-conj,,,,,,,,,,,,
ждать,жда'ть,жда,ть,imperfective,подождать,е-conj,(*) жду',(*) ждёшь,(*) ждёт,(*) ждём,(*) ждёте,(*) жду'т,(*) жди',(*) жди'те,,(') ждала',,
жениться,жени'ться,жени,ться,imperfective,пожени'ться,и-conj,,(') же'нишься,(') же'нится,(') же'нимся,(') же'нитесь,(') же'нятся,,,,,,
жить,жи'ть,жи,ть,imperfective,пожи'ть,*е-conj,(*) живу',(*) живёшь,(*) живёт,(*) живём,(*) живёте,(*) живу'т,(*) живи',(*) живи'те,,(') жила',(') жило',
заботиться,забо'титься,заботи,ться,imperfective,позаботиться,и-conj,(*) забо'чусь,,,,,,,,,,,
забыть,забы'ть,забы,ть,perfective,забывать,е-conj,(*) забу'ду,(*) забу'дешь,(*) забу'дет,(*) забу'дем,(*) забу'дете,(*) забу'дут,(*) забу'дь,(*) забу'дьте,,,,
завтракать,за'втракать,завтрака,ть,imperfective,позавтракать,е-conj,,,,,,,,,,,,
загорать,загора'ть,загора,ть,imperfective,загореть,е-conj,,,,,,,,,,,,
задать,зада'ть,зада,ть,perfective,задавать,?,(*) зада'м,(*) зада'шь,(*) зада'ст,(*) задади'м,(*) задади'те,(*) зададу'т,(*) зада'й,(*) зада'йте,(') за'дал,(') задала',(') задало',(') за'дали
заказать,заказа'ть,заказа,ть,perfective,заказывать,е-conj,(*) закажу',(*) зака'жешь,(*) зака'жет,(*) зака'жем,(*) зака'жете,(*) зака'жут,(*) закажи',(*) закажи'те,,,,
заказывать,зака'зывать,заказыва,ть,imperfective,заказать,е-conj,,,,,,,,,,,,
заканчивать,зака'нчивать,заканчива,ть,imperfective,закончить,е-conj,,,,,,,,,,,,
заключить,заключи'ть,заключи,ть,perfective,заключать,и-conj,,,,,,,,,,,,
закончить,зако'нчить,закончи,ть,perfective,заканчивать,и-conj,,,,,,,(*) зако'нчи,(*) зако'нчите,,,,
закрыть,закры'ть,закры,ть,perfective,закрывать,е-conj,(*) закро'ю,(*) закро'ешь,(*) закро'ет,(*) закро'ем,(*) закро'ете,(*) закро'ют,(*) закро'й,(*) закро'йте,,,,
закрываться,закрыва'ться,закрыва,ться,imperfective,закрыться,е-conj,,,,,,,,,,,,
закрыться,закры'ться,закры,ться,perfective,закрываться,е-conj,(*) закро'юсь,(*) закро'ешься,(*) закро'ется,(*) закро'емся,(*) закро'етесь,(*) закро'ются,(*) закро'йся,(*) закро'йтесь,,,,
заниматься,занима'ться,занима,ться,imperfective,заняться,е-conj,,,,,,,,,,,,
записывать,запи'сывать,записыва,ть,imperfective,записать,е-conj,,,,,,,,,,,,
заплатить,заплати'ть,заплати,ть,perfective,платить,и-conj,(*) заплачу',(') запла'тишь,(') запла'тит,(') запла'тим,(') запла'тите,(') запла'тят,,,,,,
запоминать,запомина'ть,запомина,ть,imperfective,запомнить,е-conj,,,,,,,,,,,,
запомнить,запо'мнить,запомни,ть,perfective,помнить;запоминать,и-conj,,,,,,,(*) запо'мни,(*) запо'мните,,,,
заработать,зарабо'тать,заработа,ть,perfective,зарабатывать,е-conj,,,,,,,,,,,,
заявить,заяви'ть,заяви,ть,perfective,заявлять,и-conj,,(') зая'вишь,(') зая'вит,(') зая'вим,(') зая'вите,(') зая'вят,(*) заяви',(*) заяви'те,(') заяви'л,(') заяви'ла,(') заяви'ло,(') заяви'ли
звонить,звони'ть,звони,ть,imperfective,позвонить,и-conj,,,,,,,,,,,,
знать,зна'ть,зна,ть,imperfective,узнать,е-conj,,,,,,,,,,,,
значить,зна'чить,значи,ть,imperfective,,и-conj,,,,,,,,,,,,
играть,игра'ть,игра,ть,imperfective,сыгра'ть,е-conj,,,,,,,,,,,,
идти,идти',ид,ти,imperfective,пойти',е-conj,,(*) идёшь,(*) идёт,(*) идём,(*) идёте,(') иду'т,(*) иди',(*) иди'те,(*) шёл,(*) шла',(*) шло',(*) шли'
извинить,извини'ть,извини,ть,perfective,извинять,и-conj,,,,,,,,,,,,
изучать,изуча'ть,изуча,ть,imperfective,изучить,е-conj,,,,,,,,,,,,
иметь,име'ть,име,ть,imperfective,заиме'ть,е-conj,,,,,,,,,,,,
интересоваться,интересова'ться,интересова,ться,imperfective,"заинтересоваться,поинтересоваться",е-conj,(*) интересу'юсь,(*) интересу'ешься,(*) интересу'ется,(*) интересу'емся,(*) интересу'етесь,(*) интересу'ются,(*) интересу'йся,(*) интересу'йтесь,,,,
использовать,испо'льзовать,использова,ть,both,,е-conj,(*) испо'льзую,(*) испо'льзуешь,(*) испо'льзует,(*) испо'льзуем,(*) испо'льзуете,(*) испо'льзуют,(*) испо'льзуй,(*) испо'льзуйте,,,,
искать,иска'ть,иска,ть,imperfective,поискать,е-conj,(*) ищу',(*) и'щешь,(*) и'щет,(*) и'щем,(*) и'щете,(*) и'щут,(*) ищи',(*) ищи'те,,,,
казаться,каза'ться,каза,ться,imperfective,показаться,е-conj,(*) кажу'сь,(*) ка'жешься,(*) ка'жется,(*) ка'жемся,(*) ка'жетесь,(*) ка'жутся,(*) кажи'сь,(*) кажи'тесь,,,,
какать,ка'кать,кака,ть,imperfective,испражня'ться,е-conj,,,(*) ка'кают,,,,,,,,,
кататься,ката'ться,ката,ться,imperfective,покататься,е-conj,,,,,,,,,,,,
класть,кла'сть,?,?,imperfective,положить;сложить;наложить,е-conj,(*) кладу',(*) кладёшь,(*) кладёт,(*) кладём,(*) кладёте,(*) кладу'т,(*) клади',(*) клади'те,(*) клал,(*) кла'ла,(*) кла'ло,(*) кла'ли
купить,купи'ть,купи,ть,perfective,покупать,и-conj,,(') ку'пишь,(') ку'пит,(') ку'пим,(') ку'пите,(') ку'пят,(*) купи',(*) купи'те,(') купи'л,(') купи'ла,(') купи'ло,(') купи'ли
курить,кури'ть,кури,ть,imperfective,покурить,и-conj,,(') ку'ришь,(') ку'рит,(') ку'рим,(') ку'рите,(') ку'рят,,,,,,
лечь,ле'чь,ле,чь,perfective,ложиться,е-conj,(*) ля'гу,(*) ля'жешь,(*) ля'жет,(*) ля'жем,(*) ля'жете,(*) ля'гут,(*) ля'г,(*) ля'гте,(*) лёг,(*) легла',(*) легло',(*) легли'
лежать,лежа'ть,лежа,ть,imperfective,полежа'ть,*и-conj,,,,,,,,,,,,
летать,лета'ть,лета,ть,imperfective,полетать,е-conj,,,,,,,,,,,,
лететь,лете'ть,лете,ть,imperfective,полететь,*и-conj,(*) лечу',,,,,,,,,,,
ложиться,ложи'ться,ложи,ться,imperfective,лечь,и-conj,,,,,,,,,,,,
любить,люби'ть,люби,ть,imperfective,полюбить,и-conj,,(') лю'бишь,(') лю'бит,(') лю'бим,(') лю'бите,(') лю'бят,(*) люби',(*) люби'те,(') люби'л,(') люби'ла,(') люби'ло,(') люби'ли
