infinitive,accented_infinitive,stem,suffix,aspect,partners,conjugation_type,ru_verb_presfut_sg1,ru_verb_presfut_sg2,ru_verb_presfut_sg3,ru_verb_presfut_pl1,ru_verb_presfut_pl2,ru_verb_presfut_pl3,ru_verb_imperative_sg,ru_verb_imperative_pl,ru_verb_past_m,ru_verb_past_f,ru_verb_past_n,ru_verb_past_pl
пробежать,пробежа'ть,пробеж,ать,perfective,пробегать,*и-conj,*пробегу',пробежи'шь,пробежи'т,пробежи'м,пробежи'те,*пробегу'т,*пробеги',*пробеги'те,пробежа'л,пробежа'ла,пробежа'ло,пробежа'ли
пробовать,про'бовать,пробов,ать,imperfective,попробовать,е-conj,про'бую,про'буешь,про'бует,про'буем,про'буете,про'буют,про'буй,про'буйте,про'бовал,про'бовала,про'бовало,про'бовали
провести,провести',провес,ти,perfective,проводить,е-conj,*проведу',*проведёшь,*проведёт,*проведём,*проведёте,*проведу'т,*проведи',*проведи'те,*провёл,*провела',*провело',*провели'
проверить,прове'рить,провер,ить,perfective,проверять,и-conj,прове'рю,прове'ришь,прове'рит,прове'рим,прове'рите,прове'рят,прове'рь,прове'рьте,прове'рил,прове'рила,прове'рило,прове'рили
проводить,проводи'ть,провод,ить,both,провести;провожа'ть,и-conj,*провожу',~прово'дишь,~прово'дит,~прово'дим,~прово'дите,~прово'дят,проводи',проводи'те,проводи'л,проводи'ла,проводи'ло,проводи'ли
продаваться,продава'ться,продав,аться,imperfective,продаться,е-conj,продаю'сь,*продаёшься,*продаётся,*продаёмся,*продаётесь,*продаю'тся,продава'йся,продава'йтесь,продава'лся,продава'лась,продава'лось,продава'лись
продолжить,продо'лжить,продолж,ить,perfective,продолжать,и-conj,продо'лжу,продо'лжишь,продо'лжит,продо'лжим,продо'лжите,продо'лжат,*продо'лжи,*продо'лжите,продо'лжил,продо'лжила,продо'лжило,продо'лжили
проехать,прое'хать,проех,ать,perfective,проезжать,е-conj,*прое'ду,*прое'дешь,*прое'дет,*прое'дем,*прое'дете,*прое'дут,*проезжа'й,*проезжа'йте,прое'хал,прое'хала,прое'хало,прое'хали
прожить,прожи'ть,прож,ить,perfective,проживать,*е-conj,*проживу',*проживёшь,*проживёт,*проживём,*проживёте,*проживу'т,*проживи',*проживи'те,прожи'л,~прожила',прожи'ло,прожи'ли
проиграть,проигра'ть,проигр,ать,perfective,проигрывать,е-conj,проигра'ю,проигра'ешь,проигра'ет,проигра'ем,проигра'ете,проигра'ют,проигра'й,проигра'йте,проигра'л,проигра'ла,проигра'ло,проигра'ли
производить,производи'ть,производ,ить,imperfective,произвести,и-conj,*произвожу',~произво'дишь,~произво'дит,~произво'дим,~произво'дите,~произво'дят,производи',производи'те,производи'л,производи'ла,производи'ло,производи'ли
